,,,Salary,Salary,Salary,Salary,Salary,Salary,,-additional
337,Joshua Jefferson,BRK,$2969520,$3118560,$3266880,$5896718,,,$6088080,jeffejo01
338,Alex Karaban,SAC,$2948280,$3095640,$3243120,$5853832,,,$6043920,karabal01
339,Danny Wolf,BRK,$2941440,$3081840,$5559640,,,,$2941440,wolfda01
340,Koa Peat,PHO,$2926800,$3073080,$3219840,$5811811,,,$5999880,peatko01
341,Hugo González,BOS,$2923560,$3062640,$5528065,,,,$2923560,gonzahu01
342,Liam McNeeley,CHO,$2902080,$3040320,$5487778,,,,$2902080,mcneeli01
343,Yanic Konan Niederhäuser,LAC,$2880960,$3018480,$5448356,,,,$2880960,konanya01
344,Ajay Mitchell,OKC,$2850000,$2850000,,,,,,mitchaj01
345,Bones Hyland,MIN,$2845883,,,,,,$2845883,hylanbo01
346,Terrence Shannon Jr.,MIN,$2801640,$5054159,,,,,$2801640,shannte01
347,Micah Potter,POR,$2801346,,,,,,$2801346,pottemi01
348,Jericho Sims,MIL,$2801346,,,,,,$2801346,simsje01
349,Luka Garza,BOS,$2801346,,,,,,$2801346,garzalu01
350,Trendon Watford,PHI,$2801346,,,,,,,watfotr01
351,Ryan Dunn,PHO,$2784240,$5025553,,,,,$2784240,dunnry01
352,Isaiah Collier,UTA,$2763960,$4988948,,,,,$2763960,colliis01
353,Baylor Scheierman,BOS,$2744040,$4952993,,,,,$2744040,scheiba01
354,Neemias Queta,BOS,$2667944,$12500000,$13500000,$14500000,$15500000,,$58667944,quetane01
355,Justin Champagnie,WAS,$2667944,$3005085,,,,,$2667944,champju01
356,Vít Krejčí,POR,$2667944,$3005085,,,,,,krejcvi01
357,Jay Huff,IND,$2667944,$3005085,,,,,,huffja01
358,Christian Koloko,NOP,$2625627,,,,,,$2625627,kolokch01
359,Caleb Houstan,NOP,$2625627,,,,,,,houstca01
360,Kobe Sanders,LAC,$2622139,$2753246,$2884353,$3019474,,,$5375385,sandeko01
361,Jamaree Bouyea,PHO,$2584539,,,,,,$2584539,bouyeja01
362,Jamal Cain,ORL,$2584539,,,,,,$2584539,cainja01
363,Bryce McGowens,NOP,$2584539,$2934742,,,,,$2584539,mcgowbr01
364,Jabari Walker,PHI,$2584539,,,,,,,walkeja01
365,Dru Smith,MIA,$2584539,$2934742,,,,,,smithdr01
366,Pete Nance,MIL,$2537526,$2756912,,,,,$2537526,nancepe01
367,Oscar Tshiebwe,HOU,$2537526,,,,,,$2537526,tshieos01
368,Julian Phillips,HOU,$2537526,,,,,,$2537526,phillju01
369,Andre Jackson Jr.,TOR,$2537526,,,,,,,jacksan01
370,Olivier-Maxence Prosper,MEM,$3500172,$1002360,,,,,$2497812,prospol01
371,Sidy Cissoko,POR,$2497812,,,,,,,cissosi01
372,Scotty Pippen Jr.,MEM,$2461462,$2789215,,,,,,pippesc02
373,Moussa Diabaté,CHO,$2461462,,,,,,,diabamo01
374,Jonathan Isaac,ORL,$10449421,,,,,,$10449421,isaacjo01
375,Daeqwon Plowden,SAC,$2449421,$2664401,,,,,$5113822,plowdda01
376,Isaiah Crawford,HOU,$2449421,$2664401,,,,,$5113822,crawfis01
377,Harrison Ingram,UTA,$2449421,,,,,,$2449421,ingraha01
378,Kyle Anderson,TOR,$2449421,,,,,,$2449421,anderky01
379,Jordan McLaughlin,SAS,$2449421,,,,,,$2449421,mclaujo01
380,Jeremy Sochan,POR,$2449421,,,,,,$2449421,sochaje01
381,Branden Carlson,POR,$2449421,,,,,,$2449421,carlsbr01
382,Kentavious Caldwell-Pope,PHI,$20194392,,,,,,$2449421,caldwke01
383,Jevon Carter,ORL,$2449421,,,,,,$2449421,carteje01
384,Nikola Vučević,ORL,$2449421,,,,,,$2449421,vucevni01
385,Jordan Clarkson,NYK,$2449421,,,,,,$2449421,clarkjo01
386,Andre Drummond,NYK,$2449421,,,,,,$2449421,drumman01
387,Kobe Bufkin,NOP,$2449421,,,,,,$2449421,bufkiko01
388,Trey Lyles,MIN,$2449421,,,,,,$2449421,lylestr01
389,Simone Fontecchio,MIA,$2449421,,,,,,$2449421,fontesi01
390,Matisse Thybulle,LAL,$2449421,,,,,,$2449421,thybuma01
391,Ziaire Williams,LAL,$2449421,,,,,,$2449421,willizi02
392,Kevon Looney,LAL,$2449421,,,,,,$2449421,looneke01
393,Larry Nance Jr.,IND,$2449421,,,,,,$2449421,nancela02
394,Jae'Sean Tate,HOU,$2449421,,,,,,$2449421,tateja01
395,Bogdan Bogdanović,HOU,$2449421,,,,,,$2449421,bogdabo01
396,Gary Payton II,GSW,$2449421,,,,,,$2449421,paytoga02
397,Charles Bassey,GSW,$2449421,,,,,,$2449421,bassech01
398,Marvin Bagley III,DEN,$2449421,,,,,,$2449421,baglema01
399,Tyus Jones,DEN,$2449421,,,,,,$2449421,jonesty01
400,Mario Hezonja,CLE,$2449421,,,,,,$2449421,hezonma01
401,Thomas Bryant,CLE,$2449421,,,,,,$2449421,bryanth01
402,Mike Conley,BOS,$2449421,,,,,,$2449421,conlemi01
403,Yuki Kawamura,LAC,$2449421,,,,,,,kawamyu01
404,Cam Spencer,MEM,$2411090,$2616754,$2830685,,,,$5027844,spencca01
405,Justin Edwards,PHI,$2411090,$2616754,,,,,$2411090,edwarju01
406,Tolu Smith,DET,$2411090,,,,,,$2411090,smithto05
407,Nae'Qwan Tomlin,CLE,$2411090,,,,,,$2411090,tomlina01
408,Ryan Kalkbrenner,CHO,$2411090,$2525901,$2735698,,,,$2411090,kalkbry01
409,Sion James,CHO,$2411090,$2525901,$2735698,,,,$2411090,jamessi01
410,Jordan Walsh,BOS,$2406205,$4629630,$5000000,$5370370,,,$17406205,walshjo01
411,Trayce Jackson-Davis,TOR,$2406205,,,,,,$2406205,jackstr02
412,GG Jackson II,MEM,$2406205,,,,,,$2406205,jacksgg01
413,Craig Porter Jr.,CLE,$2406205,,,,,,$2406205,portecr01
414,Leonard Miller,CHI,$2406205,,,,,,$2406205,millele01
415,Mouhamed Gueye,ATL,$2406205,,,,,,$2406205,gueyemo02
416,Jalen Pickett,DEN,$2406205,,,,,,,pickeja02
417,Jamal Shead,TOR,$2296271,,,,,,$2296271,sheadja01
418,Tyler Kolek,NYK,$2296271,$2486995,,,,,$2296271,kolekty01
419,Karlo Matković,NOP,$2296271,,,,,,$2296271,matkoka01
420,Pelle Larsson,MIA,$2296271,,,,,,$2296271,larsspe01
421,Johnny Furphy,IND,$2296271,$2486995,,,,,$2296271,furphjo01
422,Jamison Battle,TOR,$2296271,,,,,,,battlja01
423,Oso Ighodaro,PHO,$2296271,$2486995,,,,,,ighodos01
424,Adem Bona,PHI,$2296271,$2486995,,,,,,bonaad01
425,Jaylen Wells,MEM,$2296271,$2486995,,,,,,wellsja01
426,Bronny James,LAL,$2296271,$2486995,,,,,,jamesbr02
427,Cam Christie,LAC,$2296271,$2486995,,,,,,chrisca02
428,Mohamed Diawara,NYK,$2232143,$2410714,$2589286,$2767857,,,$10000000,diawamo01
429,JaVale McGee,DAL,$2208856,$2208856,,,,,$4417712,mcgeeja01
430,Alijah Martin,TOR,$2185116,$2571895,,,,,$2185116,martial01
431,Moussa Cisse,DAL,$2185116,$2571895,,,,,$2185116,cissemo01
432,Taelon Peter,SAS,$2185116,,,,,,,peterta01
433,Rasheer Fleming,PHO,$2150917,$2525901,$2735698,,,,$4676818,flemira01
434,Maxime Raynaud,SAC,$2150917,$2525901,,,,,$2150917,raynama01
435,Noah Penda,ORL,$2150917,$2525901,$2735698,,,,$2150917,pendano01
436,Micah Peavy,NOP,$2150917,$2525901,$2735698,,,,$2150917,peavymi01
437,Adou Thiero,LAL,$2150917,$2525901,,,,,$2150917,thierad01
438,Johni Broome,LAC,$2150917,$2525901,$2735698,,,,$2150917,broomjo01
439,Will Richard,GSW,$2150917,$2525901,$2735698,,,,$2150917,richawi02
440,Chaz Lanier,DET,$2150917,$2525901,$2735698,,,,$2150917,laniech01
441,Tyrese Proctor,CLE,$2150917,$2525901,$2735698,,,,$2150917,proctty01
442,Ryan Nembhard,ATL,$2150917,,,,,,$2150917,nembhry01
443,Myron Gardner,MIA,$2150917,$2525901,,,,,,gardnmy01
444,Baba Miller,LAC,$1705630,$2294370,$2694363,$2918152,,,$4000000,milleba01
445,Isaiah Evans,MIN,$1357763,$2294370,$2694363,$2918152,,,$6346496,evansis01
446,Bogoljub Markovic,MIL,$1357763,$2294370,$2694363,$2918152,,,$6346496,markobo01
447,Meleek Thomas,CLE,$1357763,$2294370,$2694363,$2918152,,,$6346496,thomame01
448,Emanuel Sharp,SAC,$1357763,$2294370,$2694363,,,,$3652133,sharpem01
449,Ryan Conwell,MIA,$1357763,$2294370,$2694363,,,,$3652133,conwery01
450,Henri Veesaar,ATL,$1357763,$2294370,$2694363,$2918152,,,$3652133,veesahe01
451,Bruce Thornton,HOU,$1357763,$2294370,$2694363,$2918152,,,$1357763,thornbr01
452,Trevon Brazile,DEN,$1357763,,,,,,$1357763,brazitr01
453,Nate Bittle,TOR,$1357763,,,,,,,bittlna01
454,Tucker DeVries,BOS,$1357763,,,,,,,devritu01
455,Milos Uzan,BOS,$1357763,,,,,,,uzanmi01
456,Olivier-Maxence Prosper,DAL,$3500172,$1002360,,,,,$2004720,prospol01
457,Haywood Highsmith,PHO,$1000000,,,,,,$1000000,highsha01
458,E.J. Liddell,PHO,$706898,,,,,,$706898,liddeej01
459,Vasilije Micić,MIL,$666667,$666667,,,,,$1333334,micicva01
460,Mamadi Diakite,MEM,$464050,,,,,,$464050,diakima01
461,Ricky Rubio,CLE,$424672,,,,,,$424672,rubiori01
462,Didi Louzada,POR,$268032,$268032,$268032,,,,$804096,louzama01
